trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,block_trade_leg_count,block_trade_id,amount,combo_id,block_rfq_id,unix_sec
799,370274912,1749151108656,2,0.0021,0.00199572,52.22,BTC-25JUL25-150000-C,101826.5,sell,1.0,,,1.0,,,1749151108.656
800,370297931,1749154768301,2,0.002,0.00198978,52.38,BTC-25JUL25-150000-C,101302.82,sell,0.1,,,0.1,,,1749154768.301
801,370320294,1749158003385,3,0.002,0.00203037,53.16,BTC-25JUL25-150000-C,100658.74,sell,2.0,,,2.0,,,1749158003.385
802,370331133,1749160542527,0,0.0024,0.00224589,53.71,BTC-25JUL25-150000-C,101545.74,buy,0.6,,,0.6,,,1749160542.527
803,370331134,1749160542527,1,0.0024,0.00224589,53.71,BTC-25JUL25-150000-C,101545.74,buy,4.4,,,4.4,,,1749160542.527
806,370374083,1749190462165,1,0.0024,0.00224369,52.12,BTC-25JUL25-150000-C,103200.4,buy,0.6,,,0.6,,,1749190462.165
805,370374082,1749190462165,1,0.0024,0.00224369,52.12,BTC-25JUL25-150000-C,103200.4,buy,2.0,,,2.0,,,1749190462.165
804,370374081,1749190462165,1,0.0024,0.00224369,52.12,BTC-25JUL25-150000-C,103200.4,buy,0.6,,,0.6,,,1749190462.165
807,370374099,1749190469430,1,0.0024,0.00224449,52.12,BTC-25JUL25-150000-C,103201.39,buy,2.0,,,2.0,,,1749190469.43
808,370374110,1749190473709,1,0.0024,0.002244,52.12,BTC-25JUL25-150000-C,103201.03,buy,0.6,,,0.6,,,1749190473.709
809,370374111,1749190473711,1,0.0024,0.002244,52.12,BTC-25JUL25-150000-C,103201.03,sell,1.4,,,1.4,,,1749190473.711
810,370374117,1749190477633,1,0.0024,0.00224504,52.11,BTC-25JUL25-150000-C,103208.75,buy,1.1,,,1.1,,,1749190477.633
811,370374118,1749190477635,1,0.0024,0.00224504,52.11,BTC-25JUL25-150000-C,103208.75,sell,0.9,,,0.9,,,1749190477.635
812,370374119,1749190482275,1,0.0024,0.00224471,52.12,BTC-25JUL25-150000-C,103204.76,sell,1.8,,,1.8,,,1749190482.275
813,370374120,1749190482275,1,0.0024,0.00224471,52.12,BTC-25JUL25-150000-C,103204.76,sell,0.2,,,0.2,,,1749190482.275
814,370374121,1749190486679,1,0.0024,0.00224345,52.12,BTC-25JUL25-150000-C,103204.26,sell,2.0,,,2.0,,,1749190486.679
815,370374122,1749190490692,1,0.0024,0.00224329,52.12,BTC-25JUL25-150000-C,103203.19,sell,2.0,,,2.0,,,1749190490.692
816,370374232,1749190495050,1,0.0024,0.00224281,52.12,BTC-25JUL25-150000-C,103204.11,sell,2.0,,,2.0,,,1749190495.05
817,370374243,1749190499178,1,0.0024,0.00225063,52.09,BTC-25JUL25-150000-C,103231.02,sell,2.0,,,2.0,,,1749190499.178
818,370374248,1749190503091,1,0.0024,0.0022504,52.09,BTC-25JUL25-150000-C,103231.41,sell,2.0,,,2.0,,,1749190503.091
819,370374250,1749190507773,1,0.0024,0.00225205,52.09,BTC-25JUL25-150000-C,103233.78,sell,2.0,,,2.0,,,1749190507.773
820,370452381,1749232485362,2,0.0023,0.00242594,50.18,BTC-25JUL25-150000-C,104818.21,sell,0.1,,,0.1,,,1749232485.362
821,370452821,1749232786760,3,0.0023,0.00241548,49.97,BTC-25JUL25-150000-C,105010.53,buy,0.9,,,0.9,,,1749232786.76
822,370498324,1749300158766,0,0.0024,0.00249064,50.04,BTC-25JUL25-150000-C,105696.25,sell,0.1,,,0.1,,,1749300158.766
823,370505939,1749307928406,1,0.0024,0.00251268,50.33,BTC-25JUL25-150000-C,105497.88,sell,0.1,,,0.1,,,1749307928.406
824,370531238,1749368117465,0,0.0025,0.0025403,51.1,BTC-25JUL25-150000-C,105506.91,sell,0.1,,,0.1,,,1749368117.465
825,370531547,1749368742244,1,0.0025,0.00251904,51.11,BTC-25JUL25-150000-C,105491.52,sell,0.1,,,0.1,,,1749368742.244
826,370531679,1749369042269,1,0.0025,0.00251383,51.12,BTC-25JUL25-150000-C,105496.71,sell,0.1,,,0.1,,,1749369042.269
827,370532391,1749369342322,1,0.0025,0.00251554,51.13,BTC-25JUL25-150000-C,105478.4,sell,0.1,,,0.1,,,1749369342.322
829,370536711,1749375031770,3,0.0024,0.00253034,51.01,BTC-25JUL25-150000-C,105281.42,sell,0.1,,,0.1,,,1749375031.77
828,370536710,1749375031770,2,0.0024,0.00253034,51.01,BTC-25JUL25-150000-C,105281.42,sell,1.9,,,1.9,,,1749375031.77
830,370550198,1749389631692,3,0.0024,0.0023618,50.38,BTC-25JUL25-150000-C,105863.11,buy,8.0,,,8.0,,,1749389631.692
831,370550199,1749389631819,3,0.0024,0.00236024,50.38,BTC-25JUL25-150000-C,105864.35,sell,0.1,,,0.1,,,1749389631.819
832,370556046,1749393986210,3,0.0024,0.00238362,50.53,BTC-25JUL25-150000-C,105784.01,sell,0.1,,,0.1,,,1749393986.21
833,370592457,1749446504283,2,0.0022,0.0022447,50.47,BTC-25JUL25-150000-C,105510.16,sell,0.1,,,0.1,,,1749446504.283
834,370592472,1749446545885,2,0.0021,0.00223086,50.1,BTC-25JUL25-150000-C,105500.78,sell,0.6,,,0.6,,,1749446545.885
835,370604445,1749461973945,0,0.0023,0.00236288,49.99,BTC-25JUL25-150000-C,106359.79,buy,0.5,,,0.5,,,1749461973.945
836,370604564,1749461997585,0,0.0024,0.00236531,50.36,BTC-25JUL25-150000-C,106359.28,sell,0.1,,,0.1,,,1749461997.585
837,370622061,1749467788451,0,0.0025,0.00253927,49.45,BTC-25JUL25-150000-C,107498.6,buy,0.3,,,0.3,,,1749467788.451
838,370622404,1749467796498,0,0.0026,0.00253461,49.83,BTC-25JUL25-150000-C,107462.17,sell,0.1,,,0.1,,,1749467796.498
839,370672455,1749488975153,2,0.0025,0.00248981,48.84,BTC-25JUL25-150000-C,108162.71,sell,0.1,,,0.1,,,1749488975.153
840,370684212,1749495201419,2,0.0024,0.00240895,48.27,BTC-25JUL25-150000-C,108411.04,sell,0.1,,,0.1,,,1749495201.419
841,370685686,1749496489625,0,0.0025,0.0024176,48.42,BTC-25JUL25-150000-C,108583.93,buy,2.1,,,2.1,,,1749496489.625
842,370686309,1749496865296,1,0.0025,0.00243973,48.39,BTC-25JUL25-150000-C,108616.2,sell,0.1,,,0.1,,,1749496865.296
843,370707226,1749504596074,0,0.0028,0.00292043,47.57,BTC-25JUL25-150000-C,110249.16,buy,0.1,,,0.1,,,1749504596.074
