"Date (UTC)","Timestamp (UTC)","150k","120k","115k","110k","100k","95k","90k","60k"
"06-04-2025 12:00","1749038406","0.0145","0.21","0.405","0.675","0.645","0.36","0.175","0.0085"
"06-04-2025 13:00","1749042006","0.0135","0.205","0.405","0.655","0.645","0.365","0.18","0.0085"
"06-04-2025 14:00","1749045606","0.0135","0.205","0.395","0.64","0.665","0.375","0.185","0.0075"
"06-04-2025 15:00","1749049205","0.0135","0.205","0.395","0.65","0.645","0.36","0.18","0.0075"
"06-04-2025 16:00","1749052806","0.0135","0.215","0.41","0.67","0.63","0.345","0.175","0.0075"
"06-04-2025 17:00","1749056405","0.0135","0.215","0.395","0.675","0.62","0.345","0.175","0.0075"
"06-04-2025 18:00","1749060006","0.0125","0.205","0.385","0.645","0.655","0.355","0.155","0.0075"
"06-04-2025 19:00","1749063606","0.0175","0.205","0.375","0.65","0.655","0.345","0.165","0.0075"
"06-04-2025 20:00","1749067206","0.0145","0.195","0.375","0.64","0.655","0.345","0.17","0.0075"
"06-04-2025 21:00","1749070806","0.0135","0.185","0.365","0.615","0.655","0.365","0.175","0.0075"
"06-04-2025 22:00","1749074406","0.0135","0.185","0.38","0.625","0.655","0.35","0.165","0.009"
"06-04-2025 23:00","1749078006","0.014","0.185","0.37","0.63","0.655","0.36","0.17","0.0085"
"06-05-2025 00:00","1749081606","0.014","0.185","0.36","0.625","0.65","0.355","0.17","0.0075"
"06-05-2025 01:00","1749085206","0.014","0.185","0.36","0.625","0.645","0.345","0.17","0.0075"
"06-05-2025 02:00","1749088806","0.014","0.19","0.35","0.63","0.66","0.365","0.17","0.008"
"06-05-2025 03:00","1749092406","0.0135","0.195","0.355","0.64","0.64","0.345","0.165","0.008"
"06-05-2025 04:00","1749096005","0.0135","0.185","0.37","0.645","0.64","0.35","0.165","0.008"
"06-05-2025 05:00","1749099606","0.0135","0.185","0.375","0.645","0.635","0.345","0.165","0.0075"
"06-05-2025 06:00","1749103206","0.0135","0.175","0.345","0.615","0.66","0.355","0.165","0.0075"
"06-05-2025 07:00","1749106806","0.0135","0.175","0.345","0.6","0.665","0.355","0.165","0.007"
"06-05-2025 08:00","1749110406","0.013","0.165","0.345","0.61","0.665","0.365","0.165","0.0075"
"06-05-2025 09:00","1749114006","0.0125","0.18","0.345","0.615","0.66","0.36","0.175","0.0075"
"06-05-2025 10:00","1749117606","0.0125","0.175","0.355","0.63","0.64","0.355","0.165","0.0075"
"06-05-2025 11:00","1749121206","0.013","0.185","0.345","0.61","0.655","0.36","0.165","0.0075"
"06-05-2025 12:00","1749124806","0.013","0.185","0.345","0.615","0.64","0.355","0.175","0.0075"
"06-05-2025 13:00","1749128405","0.0135","0.2","0.395","0.68","0.595","0.305","0.155","0.0085"
"06-05-2025 14:00","1749132006","0.013","0.175","0.355","0.605","0.665","0.355","0.175","0.008"
"06-05-2025 15:00","1749135606","0.012","0.175","0.35","0.605","0.65","0.35","0.165","0.0075"
"06-05-2025 16:00","1749139206","0.0125","0.175","0.345","0.605","0.65","0.345","0.165","0.007"
"06-05-2025 17:00","1749142806","0.012","0.165","0.305","0.525","0.695","0.395","0.195","0.0065"
"06-05-2025 18:00","1749146407","0.012","0.155","0.295","0.52","0.74","0.4","0.195","0.0075"
"06-05-2025 19:00","1749150006","0.0115","0.145","0.285","0.525","0.75","0.41","0.205","0.0075"
"06-05-2025 20:00","1749153606","0.0115","0.125","0.255","0.465","0.825","0.485","0.245","0.0075"
"06-05-2025 21:00","1749157207","0.0115","0.11","0.225","0.39","0.955","0.595","0.315","0.0075"
"06-05-2025 22:00","1749160807","0.0115","0.135","0.235","0.415","0.865","0.525","0.28","0.0075"
"06-05-2025 23:00","1749164406","0.0115","0.135","0.24","0.42","0.86","0.52","0.275","0.0075"
"06-06-2025 00:00","1749168006","0.0115","0.135","0.245","0.425","0.855","0.53","0.27","0.0075"
"06-06-2025 01:00","1749171607","0.0115","0.125","0.25","0.445","0.83","0.51","0.265","0.009"
"06-06-2025 02:00","1749175206","0.0125","0.125","0.255","0.43","0.85","0.51","0.24","0.0085"
"06-06-2025 03:00","1749178806","0.0125","0.13","0.255","0.435","0.82","0.49","0.24","0.0085"
"06-06-2025 04:00","1749182406","0.0125","0.145","0.26","0.45","0.805","0.46","0.225","0.0085"
"06-06-2025 05:00","1749186007","0.0115","0.15","0.275","0.485","0.775","0.45","0.215","0.0085"
"06-06-2025 06:00","1749189607","0.0115","0.15","0.27","0.485","0.765","0.445","0.215","0.007"
"06-06-2025 07:00","1749193205","0.0115","0.16","0.3","0.505","0.755","0.435","0.215","0.008"
"06-06-2025 08:00","1749196806","0.0115","0.165","0.3","0.505","0.75","0.435","0.205","0.0075"
"06-06-2025 09:00","1749200407","0.0115","0.16","0.315","0.525","0.725","0.415","0.185","0.0075"
"06-06-2025 10:00","1749204007","0.0115","0.16","0.32","0.535","0.73","0.4","0.175","0.0075"
"06-06-2025 11:00","1749207606","0.012","0.165","0.3","0.57","0.715","0.39","0.145","0.0075"
"06-06-2025 12:00","1749211206","0.0125","0.17","0.315","0.585","0.705","0.37","0.135","0.0075"
"06-06-2025 13:00","1749214806","0.012","0.17","0.32","0.58","0.71","0.37","0.145","0.007"
"06-06-2025 14:00","1749218406","0.012","0.175","0.335","0.59","0.69","0.36","0.135","0.0075"
"06-06-2025 15:00","1749222006","0.012","0.2","0.35","0.635","0.64","0.32","0.125","0.0075"
"06-06-2025 16:00","1749225607","0.012","0.205","0.355","0.645","0.625","0.315","0.125","0.0095"
"06-06-2025 17:00","1749229207","0.0125","0.2","0.36","0.63","0.655","0.335","0.125","0.0075"
"06-06-2025 18:00","1749232807","0.012","0.175","0.355","0.645","0.635","0.32","0.125","0.0075"
"06-06-2025 19:00","1749236407","0.0125","0.18","0.35","0.615","0.67","0.33","0.13","0.0075"
"06-06-2025 20:00","1749240007","0.0135","0.175","0.325","0.59","0.685","0.34","0.13","0.0075"
"06-06-2025 21:00","1749243607","0.0135","0.18","0.335","0.61","0.67","0.335","0.13","0.0075"
"06-06-2025 22:00","1749247207","0.0135","0.175","0.33","0.61","0.68","0.33","0.13","0.0075"
"06-06-2025 23:00","1749250806","0.0135","0.16","0.325","0.605","0.66","0.325","0.13","0.0075"
"06-07-2025 00:00","1749254407","0.0125","0.16","0.325","0.585","0.675","0.325","0.13","0.0075"
"06-07-2025 01:00","1749258005","0.013","0.16","0.325","0.6","0.655","0.325","0.13","0.0075"
"06-07-2025 02:00","1749261606","0.0125","0.155","0.325","0.605","0.66","0.32","0.125","0.0075"
"06-07-2025 03:00","1749265207","0.0125","0.165","0.345","0.595","0.645","0.325","0.13","0.0055"
"06-07-2025 04:00","1749268807","0.012","0.165","0.355","0.615","0.625","0.315","0.125","0.0055"
"06-07-2025 05:00","1749272406","0.012","0.165","0.35","0.615","0.63","0.31","0.135","0.0055"
"06-07-2025 06:00","1749276006","0.0125","0.175","0.355","0.62","0.62","0.305","0.13","0.0055"
"06-07-2025 07:00","1749279607","0.012","0.175","0.375","0.645","0.585","0.295","0.135","0.0055"
"06-07-2025 08:00","1749283207","0.0115","0.175","0.355","0.625","0.595","0.3","0.13","0.005"
