trade_id,strike,entry_time,exit_time,trade_type,entry_poly_prob,exit_poly_prob,divergence_at_entry,divergence_at_exit,units,investment_amount,pnl,exit_reason,capital_after_trade,capital_at_trade_entry_snapshot
49,100000.0,2025-06-05 16:00:00+00:00,2025-06-05 22:00:00+00:00,YES,0.65,0.865,-0.0880858673440808,-0.027218462864849,568.0331456558115,369.2215446762775,96.3100198459428,convergence,9675.191753263354,10059.862426757523
53,120000.0,2025-06-05 19:00:00+00:00,2025-06-05 22:00:00+00:00,YES,0.145,0.135,-0.0403277227445731,-0.0180487658245502,1062.4736019631762,154.05867228466053,-19.549514276122437,convergence,9814.322671440432,9168.402982361338
52,95000.0,2025-06-05 19:00:00+00:00,2025-06-06 01:00:00+00:00,YES,0.41,0.51,-0.1162024790591204,-0.0149981231731537,1139.5439063725146,467.2130016127309,82.50297882137005,convergence,10378.055041922915,9649.63237402245
56,100000.0,2025-06-06 01:00:00+00:00,2025-06-06 02:00:00+00:00,YES,0.83,0.85,-0.0436098752236419,-0.0235149592120434,227.20164931844684,188.57736893431087,-6.9069301392807745,convergence,10371.148111783634,10378.055041922915
57,115000.0,2025-06-06 06:00:00+00:00,2025-06-06 07:00:00+00:00,YES,0.27,0.3,-0.0514166747114311,-0.0285563701964557,822.9165877278579,222.18747868652164,10.615623981689339,convergence,10381.763735765324,10371.148111783634
58,95000.0,2025-06-06 07:00:00+00:00,2025-06-06 09:00:00+00:00,YES,0.435,0.415,-0.0442165623300261,-0.0131503806109653,439.69914110926436,191.26912638253,-20.00631092047155,convergence,10361.757424844853,10381.763735765324
55,110000.0,2025-06-05 21:00:00+00:00,2025-06-06 11:00:00+00:00,YES,0.39,0.57,-0.0682526322622611,-0.0165677925797335,690.9964161527171,269.48860229955966,104.47865812229077,convergence,10506.813439124458,9476.156802769392
59,90000.0,2025-06-06 09:00:00+00:00,2025-06-06 12:00:00+00:00,YES,0.185,0.135,-0.0532943827462287,-0.0660978829649356,1243.7465453226546,230.0931108846911,-74.1272941012302,stop_loss,10465.215914151517,10361.757424844853
62,95000.0,2025-06-06 12:00:00+00:00,2025-06-06 13:00:00+00:00,YES,0.37,0.37,-0.0487306007169818,-0.0220092847822776,558.0064836502289,206.4623989505847,-12.387743937035111,convergence,10155.961305548957,10168.349049485993
63,110000.0,2025-06-06 14:00:00+00:00,2025-06-06 15:00:00+00:00,YES,0.59,0.635,-0.0520475483877654,-0.0244804858992611,373.30006177601166,220.24703644784685,3.079725509652121,convergence,9962.260855559412,10155.961305548957
64,120000.0,2025-06-06 14:00:00+00:00,2025-06-06 15:00:00+00:00,YES,0.175,0.2,-0.0461790693102221,-0.020820097656566,1091.7069375822336,191.0487140768909,15.010970391755706,convergence,10174.052001450365,9929.106858007675
65,120000.0,2025-06-06 18:00:00+00:00,2025-06-06 19:00:00+00:00,YES,0.175,0.18,-0.0447403465106699,-0.0197717419355505,1083.7871713392,189.66275498436002,-6.123397518066497,convergence,10167.9286039323,10174.052001450365
60,115000.0,2025-06-06 11:00:00+00:00,2025-06-06 21:00:00+00:00,YES,0.3,0.335,-0.0453444756190546,-0.0283163344074239,661.7027025337977,198.5108107601393,10.554158105414103,convergence,9944.87174387471,10506.813439124458
66,95000.0,2025-06-06 19:00:00+00:00,2025-06-06 21:00:00+00:00,YES,0.33,0.335,-0.0502865810571851,-0.0279009465841651,645.5938963703442,213.04598580221358,-9.65162875073662,convergence,10154.657480500253,10167.9286039323
67,110000.0,2025-06-06 19:00:00+00:00,2025-06-07 01:00:00+00:00,YES,0.615,0.6,-0.0512089643227289,-0.0193544783263746,345.1571361112442,212.27163870841517,-17.75833465292351,convergence,10174.501754332447,9948.49123855602
70,100000.0,2025-06-07 03:00:00+00:00,2025-06-07 04:00:00+00:00,YES,0.645,0.625,-0.0478573614913721,-0.0283007459980481,309.0174580753411,199.316260458595,-17.953914314177325,convergence,9977.562139926888,9995.516054241065
61,90000.0,2025-06-06 12:00:00+00:00,2025-06-07 05:00:00+00:00,YES,0.135,0.135,-0.0660978829649356,-0.0273105524853194,2134.9648663468165,288.22025695682026,-17.293215417409215,convergence,10257.135789175003,10465.215914151517
71,100000.0,2025-06-07 07:00:00+00:00,2025-06-07 09:00:00+00:00,YES,0.585,0.625,-0.0557318673077568,-0.0222570125403805,407.1576429914136,238.18722114997692,1.5064832790682487,convergence,10258.642272454072,10257.135789175003
73,110000.0,2025-06-07 12:00:00+00:00,2025-06-07 14:00:00+00:00,YES,0.635,0.665,-0.0423318924152711,-0.0273489332399785,279.25265832394615,177.32543803570582,-2.5132739249155236,convergence,9866.76408227648,10053.437892896252
68,120000.0,2025-06-06 23:00:00+00:00,2025-06-07 15:00:00+00:00,YES,0.16,0.19,-0.0415409584420963,-0.0190301142116078,1098.5265739353733,175.76425182965974,21.421268191739784,convergence,10069.22252985277,10154.657480500253
74,100000.0,2025-06-07 13:00:00+00:00,2025-06-07 15:00:00+00:00,YES,0.57,0.58,-0.0434728945855328,-0.0242764187553917,313.6783115224915,178.79663756782014,-7.685118632301027,convergence,10245.697947915323,9870.792691719475
72,115000.0,2025-06-07 09:00:00+00:00,2025-06-07 23:00:00+00:00,YES,0.345,0.405,-0.046609104248513,-0.0277224790586964,577.4711680253795,199.2275529687559,21.65516880095177,convergence,10264.961251437488,10258.642272454072
75,120000.0,2025-06-07 16:00:00+00:00,2025-06-07 23:00:00+00:00,YES,0.19,0.205,-0.0472119525583849,-0.0295353189579392,1060.7881698344734,201.54975226854992,3.341482734978598,convergence,10475.898979009073,10245.697947915323
69,95000.0,2025-06-07 02:00:00+00:00,2025-06-08 00:00:00+00:00,YES,0.32,0.28,-0.0409901210433,-0.0271407335674688,543.0391386267645,173.77252436056466,-31.49627004035233,convergence,10623.388409060102,10174.501754332447
76,115000.0,2025-06-08 00:00:00+00:00,2025-06-08 08:00:00+00:00,YES,0.39,0.38,-0.0423463913182901,-0.0299342672882266,480.621968692571,187.4425677901027,-15.908587163724121,convergence,10409.845931188906,10623.388409060102
78,100000.0,2025-06-08 13:00:00+00:00,2025-06-08 16:00:00+00:00,YES,0.545,0.53,-0.0452079111092172,-0.0252053980579073,359.7915822001792,196.0864122990977,-17.00015225895848,convergence,9992.719414640958,10409.845931188906
80,115000.0,2025-06-08 14:00:00+00:00,2025-06-08 22:00:00+00:00,YES,0.375,0.415,-0.0495372953789091,-0.0119298380537292,551.5587109147266,206.83451659302247,8.990406987910035,convergence,9832.20987922739,10020.790114322659
79,90000.0,2025-06-08 14:00:00+00:00,2025-06-08 23:00:00+00:00,YES,0.095,0.105,-0.0427052989889939,-0.0296562007918186,1911.97559732423,181.63768174580184,7.647902389296917,convergence,10026.944593814864,10207.876926520836
81,95000.0,2025-06-08 17:00:00+00:00,2025-06-09 02:00:00+00:00,YES,0.255,0.275,-0.0452017419131439,-0.0291176645659186,738.0528169788612,188.2034683296096,3.026016549613331,convergence,10223.820182743975,9992.719414640958
83,110000.0,2025-06-09 02:00:00+00:00,2025-06-09 03:00:00+00:00,YES,0.67,0.67,-0.0433223004580328,-0.0054665951114877,275.4473941453571,184.54975407738928,-11.072985244643348,convergence,10038.997086981712,10223.820182743975
84,115000.0,2025-06-09 02:00:00+00:00,2025-06-09 03:00:00+00:00,YES,0.385,0.39,-0.0403493484110097,-0.0107089459434895,438.154357628595,168.68942768700907,-7.996317026721869,convergence,10204.75088047261,10033.733936044264
82,100000.0,2025-06-08 17:00:00+00:00,2025-06-09 09:00:00+00:00,YES,0.51,0.495,-0.0448690354102357,-0.0238638287689995,359.20411595810475,183.19409913863342,-16.21806583550844,convergence,10377.222736749893,9798.86984226146
85,95000.0,2025-06-09 09:00:00+00:00,2025-06-09 11:00:00+00:00,YES,0.25,0.205,-0.0535309455857804,-0.0248599175340673,925.8375760874695,231.45939402186738,-54.30037383753012,convergence,9863.207464823903,10377.222736749893
86,110000.0,2025-06-09 09:00:00+00:00,2025-06-09 12:00:00+00:00,YES,0.68,0.815,-0.0403131375142623,-0.0237501991354293,250.445849994578,170.30317799631305,22.577693377011173,convergence,10061.197431537117,10138.81956090737
87,115000.0,2025-06-09 09:00:00+00:00,2025-06-09 12:00:00+00:00,YES,0.385,0.495,-0.0664885715046212,-0.0235041518340599,716.9401708542637,276.0219657788915,59.936198283416445,convergence,10405.436254572793,9963.407287571168
88,95000.0,2025-06-09 12:00:00+00:00,2025-06-09 14:00:00+00:00,YES,0.185,0.21,-0.0444458131455986,-0.0259587740336043,1041.6172870927471,192.69919811215823,13.697267325269593,convergence,10181.305713700747,10405.436254572793
89,100000.0,2025-06-09 12:00:00+00:00,2025-06-09 14:00:00+00:00,YES,0.405,0.445,-0.0542925705574433,-0.0176274042710817,570.1253942162642,230.90078465758702,8.266818216135817,convergence,10427.400340114198,10206.95608051727
91,115000.0,2025-06-09 14:00:00+00:00,2025-06-09 15:00:00+00:00,YES,0.445,0.475,-0.0580829209140625,-0.0277083790148767,544.5924459994961,242.34363846977578,1.3070218703987848,convergence,10015.003357631711,10013.696335761313
92,95000.0,2025-06-09 15:00:00+00:00,2025-06-09 21:00:00+00:00,YES,0.19,0.155,-0.0455399851214995,-0.0063690929125798,1000.1822453910431,190.0346266242982,-45.35826482848381,convergence,9467.170886483944,10015.003357631711
